,player_id,full_name,birth_date,born,height,weight,nationality,position,shoots,college,high_school,career_length,link,G,PTS,AST,FG%,FT%,WS,TRB,FG3%,eFG%,PER
33,payneca01,Cameron Payne,"August 8 , 1994","Memphis, Tennessee us",188,83,us,Point Guard and Shooting Guard,Left,Murray State,"Lausanne Collegiate School in Memphis, Tennessee",,https://www.basketball-reference.com/players/p/payneca01.html,499.0,7.7,3.2,41.7,83.7,14.8,2.0,36.6,50.0,13.4
34,bacondw01,Dwayne Bacon,"August 30 , 1995","Lakeland, Florida us",198,100,us,Shooting Guard,Right,Florida State,"High Schools: McKeel Academy in Lakeland, Florida , IMG Academy in Bradenton, Florida , Oak Hill Academy in Mouth of Wilson, Virginia",4 years,https://www.basketball-reference.com/players/b/bacondw01.html,207.0,7.3,1.1,40.2,78.0,0.8,2.6,31.4,44.7,8.9
35,hunteli01,Lindsey Hunter,"December 3 , 1970","Utica, Mississippi us",188,77,us,Point Guard and Shooting Guard,Right,"Colleges: Alcorn State , Jackson State University","Murrah in Jackson, Mississippi",17 years,https://www.basketball-reference.com/players/h/hunteli01.html,937.0,8.5,2.7,38.8,74.6,32.9,2.2,36.0,45.8,12.1
36,blackch01,Charlie Black,"June 15 , 1921","Arco, Idaho us",196,90,us,Forward/Center,Right,Kansas,"Highland Park in Topeka, Kansas",3 years,https://www.basketball-reference.com/players/b/blackch01.html,136.0,9.2,2.3,28.3,60.1,4.3,2.4,,,1.1
37,scharbe01,Ben Scharnus,"December 11 , 1917","Newark, New Jersey us",188,78,us,Forward,Right,Seton Hall,,2 years,https://www.basketball-reference.com/players/s/scharbe01.html,52.0,2.0,0.4,19.9,61.7,-0.1,,,,
38,tormobu01,Gene Tormohlen,"May 12 , 1937","Holland, Indiana us",203,104,us,Center,Right,Tennessee,"Holland in Holland, Indiana",6 years,https://www.basketball-reference.com/players/t/tormobu01.html,271.0,4.4,0.9,41.1,57.9,2.3,4.1,,,11.9
39,sharpda01,Day'Ron Sharpe,"November 6 , 2001","Greenville, North Carolina us",208,120,us,Center and Power Forward,Right,UNC,"High Schools: South Central in Winterville, North Carolina , Montverde Academy in Montverde, Florida",,https://www.basketball-reference.com/players/s/sharpda01.html,253.0,7.0,1.5,56.4,65.8,11.9,5.9,27.4,57.7,19.9
40,volkoal01,Alexander Volkov,"March 29 , 1964","Omsk, Russia ru",208,98,ru,Center,Right,,,2 years,https://www.basketball-reference.com/players/v/volkoal01.html,149.0,6.8,2.2,45.5,61.3,4.5,2.6,33.3,48.3,14.1
41,oubreke01,Kelly Oubre Jr.,"December 9 , 1995","New Orleans, Louisiana us",203,92,us,Small Forward,Left,Kansas,"Findlay Prep in Henderson, Nevada",,https://www.basketball-reference.com/players/o/oubreke01.html,705.0,13.3,1.2,44.0,75.2,27.6,4.7,32.7,50.9,13.3
42,carrojo01,Joe Barry Carroll,"July 24 , 1958","Pine Bluff, Arkansas us",213,102,us,Center,Right,Purdue,"East in Denver, Colorado",10 years,https://www.basketball-reference.com/players/c/carrojo01.html,705.0,17.7,1.8,47.4,74.7,35.6,7.7,0.0,47.4,16.4
43,gervige01,George Gervin,"April 27 , 1952","Detroit, Michigan us",201,81,us,Shooting Guard and Small Forward,Right,Eastern Michigan,"Martin Luther King in Detroit, Michigan",14 years,https://www.basketball-reference.com/players/g/gervige01.html,1060.0,25.1,2.6,50.4,84.1,116.3,5.3,27.1,50.7,21.4
44,smithal01,Al Smith,"January 15 , 1947","Peoria, Illinois us",185,83,us,Point Guard,Right,Bradley,"Manual in Peoria, Illinois",5 years,https://www.basketball-reference.com/players/s/smithal01.html,337.0,9.8,5.3,40.7,77.3,11.1,2.6,29.2,42.7,11.2
45,hendece01,Cedric Henderson,"October 3 , 1965","Marietta, Georgia us",203,95,us,Power Forward,Right,Georgia,"Marietta in Marietta, Georgia",1 year,https://www.basketball-reference.com/players/h/hendece01.html,8.0,1.4,0.0,50.0,100.0,0.0,1.0,,50.0,15.3
46,dienetr01,Travis Diener,"March 1 , 1982","Fond du Lac, Wisconsin us",185,79,us,Point Guard,Right,Marquette,"Goodrich in Fond du Lac, Wisconsin",5 years,https://www.basketball-reference.com/players/d/dienetr01.html,179.0,4.8,2.4,38.8,84.7,5.6,1.4,35.3,49.5,12.5
47,dedmode01,Dewayne Dedmon,"August 12 , 1989","Lancaster, California us",208,111,us,Center,Right,USC,"Lancaster in Lancaster, California",10 years,https://www.basketball-reference.com/players/d/dedmode01.html,515.0,6.3,0.7,52.6,73.1,23.3,5.8,33.6,56.5,15.1
48,grayga01,Gary Gray,"February 23 , 1945","Fort Cobb, Oklahoma us",185,83,us,Shooting Guard,Right,Oklahoma City University,"Fort Cobb in Fort Cobb, Oklahoma",1 year,https://www.basketball-reference.com/players/g/grayga01.html,44.0,2.4,0.6,36.6,70.0,-0.5,0.5,,,5.4
49,spencca01,Cam Spencer,"April 6 , 2000","Davidsonville, Maryland us",190,92,us,Shooting Guard,Right,"Colleges: Loyola (MD) , Rutgers University , UConn","Boy's Latin School of Maryland in Baltimore, Maryland",,https://www.basketball-reference.com/players/s/spencca01.html,97.0,9.3,4.5,46.6,94.8,6.1,2.2,43.8,59.5,16.8
50,gibsode01,Dee Gibson,"August 25 , 1923","Cleveland, Tennessee us",180,79,us,Forward/Guard,Right,Western Kentucky,"Bradley in Cleveland, Tennessee",1 year,https://www.basketball-reference.com/players/g/gibsode01.html,44.0,6.4,2.9,31.4,71.8,2.7,,,,
51,wrighju01,Julian Wright,"May 20 , 1987","Chicago, Illinois us",203,102,us,Small Forward,Right,Kansas,"Homewood-Flossmoor in Flossmoor, Illinois",4 years,https://www.basketball-reference.com/players/w/wrighju01.html,231.0,3.9,0.8,49.9,58.4,3.9,2.3,26.2,50.9,12.8
52,alexaty01,Ty-Shon Alexander,"July 16 , 1998","Charlotte, North Carolina us",190,88,us,Shooting Guard,Right,Creighton,"High Schools: Concord in Concord, North Carolina , Northside Christian Academy in Charlotte, North Carolina , Oak Hill Academy in Mouth of Wilson, Virginia",1 year,https://www.basketball-reference.com/players/a/alexaty01.html,15.0,0.6,0.4,25.0,50.0,0.0,0.7,22.2,33.3,4.2
53,simpkdi01,Dickey Simpkins,"April 6 , 1972","Fort Washington, Maryland us",206,112,us,Power Forward and Center,Right,Providence,"Friendly in Fort Washington, Maryland",7 years,https://www.basketball-reference.com/players/s/simpkdi01.html,327.0,4.2,0.9,44.0,61.8,4.7,3.6,22.2,44.1,9.5
54,phillga01,Gary Phillips,"December 7 , 1939","Quincy, Illinois us",190,85,us,Shooting Guard and Point Guard,Right,Houston,"Quincy in Quincy, Illinois",5 years,https://www.basketball-reference.com/players/p/phillga01.html,348.0,6.7,1.9,37.0,62.9,2.3,2.6,,,8.2
55,laettch01,Christian Laettner,"August 17 , 1969","Angola, New York us",211,106,us,Power Forward and Center,Right,Duke,"Nichols School in Buffalo, New York",13 years,https://www.basketball-reference.com/players/l/laettch01.html,868.0,12.8,2.6,48.0,82.0,64.9,6.7,26.1,48.6,16.9
56,wembavi01,Victor Wembanyama,"January 4 , 2004","Le Chesnay, France fr",224,106,fr,Center and Power Forward,Right,,,,https://www.basketball-reference.com/players/w/wembavi01.html,181.0,23.4,3.5,48.4,81.7,17.5,11.0,34.2,54.7,25.7
57,ellenhe01,Henry Ellenson,"January 13 , 1997","Rice Lake, Wisconsin us",208,108,us,Power Forward and Center,Right,Marquette,"Rice Lake in Rice Lake, Wisconsin",5 years,https://www.basketball-reference.com/players/e/ellenhe01.html,83.0,4.1,0.6,37.1,77.3,0.4,2.5,33.6,44.6,10.7
58,phelpde01,Derrick Phelps,"July 31 , 1972","Queens, New York us",193,82,us,Point Guard,Right,UNC,"Christ the King in Queens, New York",1 year,https://www.basketball-reference.com/players/p/phelpde01.html,3.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,-17.3
59,brownjo01,John Brown,"December 14 , 1951","Frankfurt, Germany de",201,99,de,Small Forward and Power Forward,Right,Missouri,"Dixon in Dixon, Missouri",7 years,https://www.basketball-reference.com/players/b/brownjo01.html,486.0,7.4,1.4,45.3,78.3,16.2,4.4,,45.3,11.7
60,bertada02,Dairis Bertāns,"September 9 , 1989","Valmiera, Latvia lv",193,83,lv,Shooting Guard,Right,,,1 year,https://www.basketball-reference.com/players/b/bertada02.html,12.0,2.8,0.8,25.5,,-0.2,0.8,29.4,36.2,2.0
61,jonesch03,Charles Jones,"July 17 , 1975","Brooklyn, New York us",190,81,us,Point Guard and Shooting Guard,Right,"Colleges: Rutgers University , Long Island University","Bishop Ford in Brooklyn, New York",2 years,https://www.basketball-reference.com/players/j/jonesch03.html,85.0,3.5,1.6,32.4,62.2,0.0,1.2,32.4,41.4,9.4
62,uzohbe01,Ben Uzoh,"March 19 , 1988","Houston, Texas us",190,92,us,Point Guard,Right,Tulsa,"Warren in San Antonio, Texas",2 years,https://www.basketball-reference.com/players/u/uzohbe01.html,60.0,4.0,2.2,39.5,58.7,0.7,2.1,33.3,40.1,13.0
63,bonharo01,Ron Bonham,"May 31 , 1942","Muncie, Indiana us",196,87,us,Small Forward and Shooting Guard,Right,Cincinnati,"Muncie Central in Muncie, Indiana",3 years,https://www.basketball-reference.com/players/b/bonharo01.html,118.0,6.1,0.4,38.8,82.4,2.7,1.4,0.0,38.8,16.9
64,reidbi01,Billy Reid,"September 10 , 1957","New York, New York us",196,86,us,Shooting Guard,Right,"Colleges: New Mexico , San Francisco","DeWitt Clinton in Bronx, New York",1 year,https://www.basketball-reference.com/players/r/reidbi01.html,59.0,3.2,1.2,45.4,56.4,-0.6,1.0,0.0,45.4,6.2
65,gillihe01,Herm Gilliam,"May 5 , 1946","Winston-Salem, North Carolina us",190,86,us,Shooting Guard and Point Guard,Right,Purdue,"Atkins in Winston-Salem, North Carolina",8 years,https://www.basketball-reference.com/players/g/gillihe01.html,578.0,10.8,3.8,44.1,79.2,20.8,3.8,,,13.8
66,pendeje01,Jerry Pender,"February 12 , 1950",United States us,188,83,us,Shooting Guard,Right,"Colleges: Merced College , Fresno State","Frederick Douglass in Elm City, North Carolina",1 year,https://www.basketball-reference.com/players/p/pendeje01.html,11.0,2.5,0.4,26.7,76.9,-0.2,0.5,33.3,28.3,4.2
67,zasloma01,Max Zaslofsky,"December 7 , 1925","Brooklyn, New York us",188,77,us,Shooting Guard,Right,St. John's,"Thomas Jefferson in Brooklyn, New York",10 years,https://www.basketball-reference.com/players/z/zasloma01.html,540.0,14.8,2.0,34.3,76.9,48.3,2.8,,,13.6
68,larueru01,Rusty LaRue,"December 10 , 1973","Winston-Salem, North Carolina us",188,95,us,Point Guard,Right,Wake Forest,"Northwest Guilford in Greensboro, North Carolina",5 years,https://www.basketball-reference.com/players/l/larueru01.html,98.0,5.0,1.6,37.6,84.1,0.5,1.3,31.8,43.1,8.9
69,grantje02,Jerian Grant,"October 9 , 1992","Silver Spring, Maryland us",193,92,us,Point Guard and Shooting Guard,Right,Notre Dame,"DeMatha Catholic in Hyattsville, Maryland",5 years,https://www.basketball-reference.com/players/g/grantje02.html,279.0,6.1,2.9,41.1,77.0,8.3,1.9,32.3,47.2,12.5
70,murrewi01,Willie Murrell,"September 13 , 1941","Taft, Oklahoma us",198,102,us,Small Forward,Right,"Colleges: Eastern Oklahoma State College , Kansas State","Moton in Taft, Oklahoma",3 years,https://www.basketball-reference.com/players/m/murrewi01.html,228.0,13.1,1.0,46.6,71.9,14.7,7.3,30.4,46.8,15.4
71,mensana01,Nathan Mensah,"April 9 , 1998","Accra, Ghana gh",206,104,gh,Center,Left,San Diego State,"Findlay Prep in Henderson, Nevada",1 year,https://www.basketball-reference.com/players/m/mensana01.html,25.0,1.3,0.4,42.9,75.0,0.1,2.6,,42.9,5.0
72,luisiji01,Jim Luisi,"November 2 , 1928","New York, New York us",188,81,us,Point Guard,Right,St. Francis College,"Benjamin Franklin in New York, New York",1 year,https://www.basketball-reference.com/players/l/luisiji01.html,31.0,2.9,1.1,32.6,65.9,0.0,0.8,,,7.7
73,copella01,Lanard Copeland,"July 16 , 1965","Atlanta, Georgia us",198,86,us,Shooting Guard,Right,Georgia State University,"Booker T. Washington in Atlanta, Georgia",2 years,https://www.basketball-reference.com/players/c/copella01.html,33.0,2.7,0.4,41.8,81.3,-0.4,0.5,14.3,42.3,8.2
74,lesji01,Jim Les,"August 18 , 1963","Niles, Illinois us",180,74,us,Point Guard,Right,"Colleges: Cleveland State University , Bradley","Notre Dame Prep in Niles, Illinois",7 years,https://www.basketball-reference.com/players/l/lesji01.html,321.0,3.8,2.9,39.7,81.8,8.1,1.2,39.6,50.1,12.4
75,loughke01,Kevin Loughery,"March 28 , 1940","Brooklyn, New York us",190,86,us,Shooting Guard and Point Guard,Right,"Colleges: Boston College , St. John's","Cardinal Hayes in Bronx, New York",11 years,https://www.basketball-reference.com/players/l/loughke01.html,755.0,15.3,3.7,41.3,80.3,29.8,3.0,,,13.7
76,battlke01,Kenny Battle,"October 10 , 1964","Aurora, Illinois us",198,95,us,Shooting Guard,Left,"Colleges: Northern Illinois , Illinois","West Aurora in Aurora, Illinois",4 years,https://www.basketball-reference.com/players/b/battlke01.html,134.0,4.7,0.8,50.4,72.5,3.7,2.4,13.3,50.8,12.5
77,banede01,Desmond Bane,"June 25 , 1998","Richmond, Indiana us",198,97,us,Shooting Guard,Right,TCU,"Seton Catholic in Richmond, Indiana",,https://www.basketball-reference.com/players/b/banede01.html,395.0,18.3,3.8,47.5,89.0,33.0,4.5,40.7,56.3,17.1
78,forreba01,Bayard Forrest,"July 8 , 1954","San Jose, California us",208,106,us,Center,Right,Grand Canyon University,"Bandon in Bandon, Oregon",2 years,https://www.basketball-reference.com/players/f/forreba01.html,139.0,4.1,2.1,44.9,50.9,2.7,4.1,,,10.6
79,huntele01,Les Hunter,"August 16 , 1942","Nashville, Tennessee us",201,95,us,Power Forward,Right,Loyola Chicago,"Pearl in Nashville, Tennessee",7 years,https://www.basketball-reference.com/players/h/huntele01.html,468.0,12.3,1.6,44.3,69.9,25.5,6.9,19.9,44.6,14.8
80,tatumea01,Earl Tatum,"July 26 , 1953","Mount Vernon, New York us",196,83,us,Shooting Guard,Right,Marquette,"Mount Vernon in Mount Vernon, New York",4 years,https://www.basketball-reference.com/players/t/tatumea01.html,262.0,9.6,1.9,45.9,74.6,7.8,2.6,33.3,46.0,14.2
81,humphkr01,Kris Humphries,"February 6 , 1985","Minneapolis, Minnesota us",206,106,us,Power Forward and Small Forward,Right,Minnesota,"Hopkins in Minnetonka, Minnesota",13 years,https://www.basketball-reference.com/players/h/humphkr01.html,800.0,6.7,0.7,46.3,70.0,30.3,5.4,29.3,46.9,15.4
82,schrode01,Dennis Schröder,"September 15 , 1993","Braunschweig, Germany de",185,79,de,Point Guard and Shooting Guard,Right,,,,https://www.basketball-reference.com/players/s/schrode01.html,912.0,13.7,4.9,43.0,83.6,34.2,2.9,34.1,48.4,14.0
83,fazekni01,Nick Fazekas,"June 17 , 1985","Denver, Colorado us",211,106,us,Power Forward,Right,Nevada,"Ralston Valley in Arvada, Colorado",1 year,https://www.basketball-reference.com/players/f/fazekni01.html,26.0,4.1,0.4,56.1,68.2,0.8,3.4,0.0,56.1,19.6
84,smallja01,Javon Small,"December 19 , 2002","South Bend, Indiana us",185,86,us,Point Guard,Right,"Colleges: East Carolina University , Oklahoma State , West Virginia","High Schools: Riley HS in South Bend, Indiana , Franklin Central in Indianapolis, Indiana , AZ Compass Prep in Chandler, Arizona",,https://www.basketball-reference.com/players/s/smallja01.html,41.0,9.7,3.7,46.5,82.9,1.9,3.1,42.3,56.9,16.1
85,dixonju01,Juan Dixon,"October 9 , 1978","Baltimore, Maryland us",190,74,us,Shooting Guard and Point Guard,Right,Maryland,"Calvert Hall in Towson, Maryland",7 years,https://www.basketball-reference.com/players/d/dixonju01.html,436.0,8.4,1.8,41.3,83.3,6.1,1.9,34.1,46.1,12.8
86,willode01,Dedric Willoughby,"May 27 , 1974","New Orleans, Louisiana us",190,81,us,Point Guard,Right,"Colleges: New Orleans , Iowa State","Archbishop Shaw in Marrero, Louisiana",1 year,https://www.basketball-reference.com/players/w/willode01.html,25.0,7.6,2.6,34.1,76.5,0.4,2.0,29.6,42.2,12.2
87,noelne01,Nerlens Noel,"April 10 , 1994","Malden, Massachusetts us",208,99,us,Center and Power Forward,Right,Kentucky,"Tilton School in Tilton, New Hampshire",9 years,https://www.basketball-reference.com/players/n/noelne01.html,467.0,7.1,1.1,54.6,65.5,28.3,6.1,20.0,54.7,16.5
88,mathega01,Garrison Mathews,"October 24 , 1996","Franklin, Tennessee us",196,97,us,Shooting Guard,Right,Lipscomb,"Franklin in Franklin, Tennessee",,https://www.basketball-reference.com/players/m/mathega01.html,329.0,6.4,0.7,40.5,83.8,10.2,1.7,38.2,56.8,10.4
89,pullizy01,Zyon Pullin,"March 3 , 2001","Pleasant Hill, California us",193,93,us,Shooting Guard,Right,"High School: College Park in Pleasant Hill, California",,,https://www.basketball-reference.com/players/p/pullizy01.html,8.0,2.9,1.1,64.3,100.0,0.2,0.4,33.3,67.9,16.9
90,ellispe01,Pervis Ellison,"April 3 , 1967","Savannah, Georgia us",206,95,us,Center and Power Forward,Right,Louisville,"Savannah in Savannah, Georgia",11 years,https://www.basketball-reference.com/players/e/ellispe01.html,474.0,9.5,1.5,51.0,68.9,21.8,6.7,5.0,51.0,15.2
91,weberja01,Jake Weber,"March 18 , 1918","Rushville, Indiana us",198,102,us,Center,Right,Purdue,"Plainfield in Plainfield, Indiana",1 year,https://www.basketball-reference.com/players/w/weberja01.html,50.0,3.5,0.1,29.2,69.6,1.4,,,,
92,mickejo01,Jordan Mickey,"July 9 , 1994","Dallas, Texas us",203,106,us,Power Forward,Right,LSU,"Prime Prep Academy in Dallas, Texas",3 years,https://www.basketball-reference.com/players/m/mickejo01.html,64.0,2.4,0.3,44.9,60.5,0.5,2.0,11.8,45.7,10.9
93,crowbi01,Bill Crow,"December 9 , 1940","Los Angeles, California us",185,81,us,Guard,Right,"Colleges: Cerritos College , BYU , Westminster College of Utah","Downey in Downey, California",1 year,https://www.basketball-reference.com/players/c/crowbi01.html,1.0,3.0,0.0,12.5,25.0,-0.2,2.0,,12.5,-12.3
